,index,GMAT,GPA,Stanford,Columbia,Kellogg,Booth,Yale,NYU,Tuck,Cornell,Berkeley,Wharton,UCLA,Duke,INSEAD,Harvard,Michigan,Sloan,STEM_MAJOR,UNDER_REP,IVY_MIT_STANFORD_UNDERGRAD,FEMALE
136,21,700.0,3.45,30.0,30.0,40.0,40.0,40.0,50.0,,,,,,,,,,,0.0,0.0,0.0,
137,22,700.0,2.5,,50.0,,50.0,,50.0,,,,47.5,,,,,,40.0,1.0,0.0,0.0,
138,23,750.0,3.2,,,35.0,,,,,40.0,20.0,,,45.0,,,45.0,,0.0,0.0,1.0,
139,24,720.0,3.2,10.0,30.0,,,30.0,45.0,20.0,,20.0,20.0,,30.0,,,,,0.0,0.0,0.0,
140,25,660.0,3.86,,,,50.0,50.0,,50.0,50.0,,20.0,,,,,,,0.0,0.0,0.0,
141,26,700.0,3.9,10.0,40.0,40.0,,,50.0,,,50.0,,,,,,,,0.0,0.0,0.0,
142,27,720.0,3.7,40.0,,65.0,,65.0,,,,,60.0,,,,40.0,,,0.0,0.0,0.0,
143,28,700.0,3.4,,,,45.0,,,,,,,,,,,,,0.0,0.0,1.0,
144,29,680.0,3.4,,50.0,50.0,,,55.0,50.0,,,,,50.0,,,50.0,,0.0,0.0,0.0,
145,30,700.0,3.8,42.5,,,75.0,,,,,,65.0,,,,,,,0.0,0.0,1.0,
146,31,680.0,3.96,25.0,50.0,,,,,,,50.0,,,,,,,,0.0,0.0,0.0,
147,32,780.0,3.71,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
148,33,750.0,3.9,,,,60.0,,,70.0,,,60.0,,,,,,,0.0,0.0,0.0,
149,34,720.0,3.9,35.0,50.0,,,50.0,,,,60.0,50.0,65.0,60.0,,,,,0.0,0.0,0.0,
150,35,750.0,3.67,,,,,,,,,,45.0,,,,,,,0.0,0.0,1.0,
151,36,750.0,4.0,10.0,-20.0,-30.0,,,,,30.0,,-20.0,,,,,,,0.0,0.0,0.0,
152,37,690.0,3.8,,,40.0,,40.0,,40.0,,40.0,,,50.0,,,,,0.0,0.0,0.0,
153,38,700.0,3.8,,60.0,,,,,,,,60.0,,70.0,,,70.0,,1.0,0.0,0.0,
154,39,650.0,3.2,25.0,45.0,,,50.0,,50.0,,50.0,37.5,,,,32.5,,,0.0,0.0,0.0,
155,40,710.0,3.65,,40.0,,40.0,30.0,40.0,30.0,,,25.0,,,,,,25.0,0.0,0.0,0.0,
156,41,730.0,3.94,,,,,,,,,,20.0,,,,,,,0.0,0.0,0.0,
157,42,710.0,3.83,17.5,,40.0,40.0,,,,,,30.0,,,,,,,0.0,0.0,0.0,
158,43,710.0,3.4,-20.0,40.0,40.0,,,,,,30.0,,,,,,,30.0,0.0,0.0,0.0,1.0
159,44,750.0,3.7,40.0,,60.0,60.0,,,,,,60.0,,70.0,,50.0,,60.0,1.0,0.0,0.0,0.0
160,45,670.0,3.4,,,60.0,,,,,,,,,,,30.0,,-40.0,1.0,0.0,0.0,1.0
161,46,720.0,3.8,60.0,80.0,,80.0,,,,,,70.0,,,,60.0,,70.0,0.0,0.0,0.0,
162,47,720.0,3.2,,,30.0,30.0,,30.0,,,,,,,,,50.0,,0.0,0.0,0.0,1.0
