,GMAT,GPA,AGE,Stanford,Wharton,Tuck,Kellogg,Columbia,Duke,Michigan,Harvard,INSEAD,Booth,Yale,NYU,Sloan,Berkeley,Cornell,UCLA,UNIVERSITY_Tier 1,UNIVERSITY_Tier 2,UNIVERSITY_Tier 3,MAJOR_Business,MAJOR_Economics,MAJOR_Engineering,MAJOR_International Studies,GENDER_Female,GENDER_MALE,RACE_Asian,RACE_Black
171,770.0,3.2,28.0,15.0,27.5,20.0,30.0,40.0,,40.0,20.0,50.0,30.0,30.0,,35.0,40.0,,,0,0,1,0,0,0,0,0,1,1,0
172,680.0,3.3,25.0,10.0,,35.0,,,50.0,,20.0,,50.0,,,30.0,50.0,,,0,0,1,1,0,0,0,0,1,1,0
173,720.0,10.0,25.0,25.0,45.0,,50.0,50.0,,,35.0,,,,,,,,,0,0,1,0,1,0,0,0,1,1,0
174,760.0,3.1,24.0,25.0,40.0,,,,,,,,,60.0,,,50.0,,,0,0,1,0,0,1,0,1,0,1,0
175,750.0,3.3,25.0,,32.5,,50.0,,,60.0,20.0,,,,,,,,,0,0,1,0,1,0,0,0,1,1,0
176,700.0,3.3,50.0,15.0,,,35.0,,,,25.0,,,,,30.0,30.0,,40.0,0,0,1,0,0,1,0,1,0,1,0
177,740.0,3.63,25.0,,40.0,,,45.0,,,20.0,,45.0,45.0,,,,,,0,0,1,0,1,0,0,0,1,1,0
178,740.0,3.6,2.0,,37.5,45.0,45.0,45.0,,,,,,,,30.0,50.0,,,1,0,0,0,0,0,0,0,0,1,0
179,700.0,3.64,75.0,15.0,40.0,,40.0,,,,30.0,,45.0,,,,50.0,,50.0,0,0,1,0,1,0,0,0,1,1,0
180,750.0,3.75,,35.0,50.0,,60.0,,,,45.0,,60.0,60.0,,50.0,50.0,,,1,0,0,0,1,0,0,0,0,0,0
181,740.0,3.7,2.0,,50.0,50.0,50.0,,,,,,,60.0,,,,,,0,0,1,1,0,0,0,1,0,1,0
182,710.0,3.17,50.0,,30.0,,35.0,,,,15.0,,35.0,,,,,,,0,0,1,0,0,0,0,0,1,1,0
183,760.0,8.5,25.0,,,25.0,45.0,37.5,,,,50.0,42.5,40.0,,45.0,50.0,,,0,0,1,0,0,0,0,0,1,1,0
184,710.0,3.47,2.0,15.0,35.0,,50.0,,,,35.0,,50.0,,,42.5,50.0,,,0,0,1,0,1,0,0,0,0,1,0
185,760.0,2.76,27.0,,,,,35.0,40.0,40.0,,,,,,,,50.0,,1,0,0,0,1,0,0,0,1,1,0
186,720.0,3.3,5.0,20.0,,,,,,,35.0,,,,,40.0,40.0,,,0,0,1,0,0,1,0,1,0,1,0
187,710.0,3.8,2013.0,,,20.0,30.0,,30.0,,,,,,,,,40.0,,0,0,1,1,0,0,0,0,0,1,0
188,750.0,3.8,23.0,22.5,,,,40.0,,,,,,,,40.0,50.0,,50.0,0,0,1,0,0,1,0,0,1,1,0
189,730.0,3.1,4.0,,32.5,,,35.0,,,,55.0,,,,,,,,0,0,1,1,0,0,0,0,0,1,0
190,700.0,3.4,29.0,,,,,,,,,,,,,,,45.0,32.5,0,0,1,0,0,0,0,0,0,1,0
191,730.0,2.8,,5.0,10.0,,15.0,15.0,,,5.0,,15.0,,,10.0,10.0,,,0,0,1,0,0,0,0,0,0,0,0
192,760.0,3.57,,22.5,35.0,45.0,,,,,25.0,,45.0,,,45.0,,,,1,0,0,0,0,1,0,0,0,0,0
193,700.0,3.75,28.0,20.0,37.5,,,,45.0,,,,40.0,,,,40.0,,,0,0,1,0,0,0,0,0,1,1,0
194,710.0,3.7,27.0,25.0,50.0,,,,,,35.0,,,,,,,,,0,0,1,1,0,0,0,0,1,1,0
195,710.0,3.6,24.0,32.5,50.0,,50.0,,,,45.0,,,,,50.0,50.0,,50.0,0,0,1,0,0,1,0,0,1,0,1
196,700.0,7.8,26.0,15.0,37.5,25.0,42.5,,50.0,,27.5,,,,,,,,,0,0,1,0,0,0,0,1,0,1,0
197,740.0,3.4,26.0,20.0,50.0,,50.0,,,,30.0,,50.0,,,50.0,,,,0,0,1,0,0,1,0,0,1,1,0
198,790.0,4.0,26.0,35.0,50.0,,50.0,,,,45.0,,,50.0,,,,,,0,0,1,0,0,0,0,0,1,1,0
199,740.0,3.66,5.0,15.0,,45.0,45.0,,,50.0,,,45.0,,,,,,,0,0,1,0,0,0,0,0,1,1,0
200,690.0,3.85,29.0,25.0,,,,,50.0,,40.0,,,,,,50.0,,50.0,0,0,1,0,0,0,0,0,1,1,0
201,700.0,3.45,1.2,,25.0,,40.0,40.0,,,15.0,,40.0,,,,,,,0,0,1,0,1,0,0,0,1,1,0
202,780.0,3.4,27.0,20.0,,,50.0,,,,30.0,,50.0,,,50.0,,,,0,0,1,0,0,1,0,0,1,1,0
203,760.0,3.74,3.0,,,,,,,,20.0,,,,,40.0,,,,0,0,1,0,0,1,0,0,0,1,0
